phrase,severity,category
I feel empty lowkey asap,84,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore tbh tonight,70,Substance crisis - requires attention based on phrasing and urgency
I feel empty literally today,80,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore lowkey soon,99,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here literally tonight,99,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore lowkey right now,90,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything fr soon,100,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it literally today,75,Emotional distress - requires attention based on phrasing and urgency
I feel empty seriously right now,70,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore seriously today,91,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here idk right now,80,Threat to others - requires attention based on phrasing and urgency
they keep hurting me ngl right now,89,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it fr asap,79,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here seriously asap,92,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone fr tonight,89,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here lowkey right now,80,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me idk asap,97,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here idk asap,93,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey soon,95,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me idk asap,56,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey soon,73,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore ngl right now,95,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here tbh soon,77,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me ngl asap,62,Emotional distress - requires attention based on phrasing and urgency
I feel empty seriously today,78,Passive ideation - requires attention based on phrasing and urgency
I wanna end it lowkey right now,98,Imminent self-harm - requires attention based on phrasing and urgency
I took too much lowkey today,62,Substance crisis - requires attention based on phrasing and urgency
I wanna end it seriously right now,69,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it ngl right now,79,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it highkey tonight,98,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here literally asap,93,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore literally asap,94,Threat to others - requires attention based on phrasing and urgency
they keep hurting me tbh soon,53,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here ngl tonight,70,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything idk right now,87,Explicit suicidal intent - requires attention based on phrasing and urgency
I took too much literally right now,68,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here tbh right now,88,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it fr asap,64,Emotional distress - requires attention based on phrasing and urgency
I wanna end it literally soon,79,Emotional distress - requires attention based on phrasing and urgency
I feel empty literally tonight,81,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me literally today,85,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it idk right now,74,Domestic risk - requires attention based on phrasing and urgency
I took too much lowkey tonight,74,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here lowkey tonight,96,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me idk today,81,Passive ideation - requires attention based on phrasing and urgency
I wanna end it idk today,93,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty lowkey soon,100,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore fr asap,93,Threat to others - requires attention based on phrasing and urgency
they keep hurting me seriously right now,86,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here lowkey soon,77,Passive ideation - requires attention based on phrasing and urgency
I took too much highkey right now,100,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me tbh tonight,93,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it fr soon,100,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty seriously right now,61,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me idk asap,60,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here literally tonight,91,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore fr right now,79,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here fr soon,99,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore fr soon,63,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it literally asap,75,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything highkey today,67,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore highkey soon,85,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here seriously soon,100,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore ngl right now,81,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone idk tonight,61,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore idk soon,91,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore literally today,92,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it ngl today,70,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh tonight,100,Imminent self-harm - requires attention based on phrasing and urgency
I took too much fr right now,96,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here lowkey soon,61,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here tbh tonight,77,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously soon,92,Threat to others - requires attention based on phrasing and urgency
I wanna end it lowkey asap,90,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here ngl right now,93,Threat to others - requires attention based on phrasing and urgency
they keep hurting me seriously tonight,86,Domestic risk - requires attention based on phrasing and urgency
I wanna end it lowkey tonight,67,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously asap,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it idk today,89,Passive ideation - requires attention based on phrasing and urgency
I took too much idk today,95,Domestic risk - requires attention based on phrasing and urgency
I feel empty tbh tonight,70,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey soon,100,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it lowkey right now,98,Threat to others - requires attention based on phrasing and urgency
I'm done with everything fr right now,57,Emotional distress - requires attention based on phrasing and urgency
I wanna end it idk soon,61,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here literally tonight,96,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone idk right now,75,Substance crisis - requires attention based on phrasing and urgency
I feel empty lowkey today,93,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me idk today,74,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore literally tonight,94,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it lowkey tonight,82,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh asap,77,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything lowkey soon,61,Substance crisis - requires attention based on phrasing and urgency
I feel empty seriously today,99,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me lowkey tonight,83,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore ngl soon,92,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously tonight,63,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me idk soon,90,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it highkey asap,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here lowkey asap,64,Substance crisis - requires attention based on phrasing and urgency
I feel empty highkey soon,85,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore lowkey soon,95,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it tbh today,83,Threat to others - requires attention based on phrasing and urgency
I feel empty tbh soon,89,Threat to others - requires attention based on phrasing and urgency
I took too much ngl tonight,68,Emotional distress - requires attention based on phrasing and urgency
I wanna end it ngl today,65,Emotional distress - requires attention based on phrasing and urgency
I wanna end it highkey right now,66,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here ngl asap,66,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here tbh right now,92,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore idk right now,95,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore idk soon,66,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me literally right now,70,Substance crisis - requires attention based on phrasing and urgency
I wanna end it ngl right now,98,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty tbh right now,69,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here tbh right now,94,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it seriously tonight,95,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it idk asap,96,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey right now,66,Passive ideation - requires attention based on phrasing and urgency
I feel empty fr tonight,90,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty ngl asap,88,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything tbh soon,66,Substance crisis - requires attention based on phrasing and urgency
I wanna end it tbh right now,70,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me literally asap,94,Threat to others - requires attention based on phrasing and urgency
they keep hurting me fr asap,63,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore idk right now,66,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me lowkey asap,69,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything fr tonight,93,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore seriously right now,79,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it seriously today,84,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything ngl soon,85,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore fr tonight,75,Domestic risk - requires attention based on phrasing and urgency
I feel empty tbh tonight,99,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl today,95,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey asap,70,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore seriously tonight,69,Passive ideation - requires attention based on phrasing and urgency
I took too much seriously tonight,62,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me idk today,85,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me ngl right now,86,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me lowkey soon,64,Substance crisis - requires attention based on phrasing and urgency
I wanna end it idk asap,65,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore tbh soon,100,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone literally tonight,62,Substance crisis - requires attention based on phrasing and urgency
I took too much idk tonight,92,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here highkey today,99,Threat to others - requires attention based on phrasing and urgency
life ain't worth it fr soon,71,Domestic risk - requires attention based on phrasing and urgency
I wanna end it literally today,73,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey asap,73,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it tbh soon,98,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it tbh right now,82,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore seriously tonight,57,Emotional distress - requires attention based on phrasing and urgency
I wanna end it idk tonight,88,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me tbh soon,80,Passive ideation - requires attention based on phrasing and urgency
I wanna end it seriously soon,95,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey soon,80,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore tbh right now,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything lowkey soon,88,Threat to others - requires attention based on phrasing and urgency
I took too much idk soon,85,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore ngl right now,95,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here seriously right now,92,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything ngl asap,80,Domestic risk - requires attention based on phrasing and urgency
I wanna end it literally soon,74,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here idk asap,98,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously today,76,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it ngl asap,79,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything highkey asap,80,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it tbh today,90,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it tbh today,80,Emotional distress - requires attention based on phrasing and urgency
