phrase,severity,interpretation
I don't mean it,18,de-escalation confirmed
I talked to someone,14,de-escalation confirmed
I'm safe,5,reduced risk
I won't do anything,9,de-escalation confirmed
I'm safe,39,de-escalation confirmed
I'm not going to hurt myself,5,reduced risk
I changed my mind,26,monitor but not urgent
I don't mean it,16,monitor but not urgent
I'm okay now,17,reduced risk
I'm not going to hurt myself,24,de-escalation confirmed
I don't actually want to die,24,monitor but not urgent
I changed my mind,19,de-escalation confirmed
I'm safe,25,reduced risk
I'm safe,17,stabilizing emotional state
I talked to someone,20,stabilizing emotional state
things are getting better,5,de-escalation confirmed
I talked to someone,23,de-escalation confirmed
I talked to someone,5,de-escalation confirmed
I'm safe,35,stabilizing emotional state
I'm okay now,28,de-escalation confirmed
I was just venting,17,monitor but not urgent
I'm not going to hurt myself,38,monitor but not urgent
I'm safe,5,monitor but not urgent
I talked to someone,12,reduced risk
I talked to someone,24,stabilizing emotional state
I'm okay now,23,reduced risk
I'm safe,9,reduced risk
I'm okay now,24,de-escalation confirmed
I don't mean it,34,stabilizing emotional state
I changed my mind,8,de-escalation confirmed
I'm not going to hurt myself,27,reduced risk
I was just venting,23,reduced risk
I don't mean it,10,stabilizing emotional state
I don't actually want to die,26,stabilizing emotional state
I won't do anything,5,de-escalation confirmed
I'm safe,15,monitor but not urgent
I'm okay now,29,stabilizing emotional state
I don't actually want to die,33,stabilizing emotional state
I changed my mind,24,de-escalation confirmed
I was just venting,34,reduced risk
I talked to someone,34,reduced risk
I changed my mind,36,stabilizing emotional state
I'm safe,18,reduced risk
I'm not going to hurt myself,9,reduced risk
I changed my mind,14,stabilizing emotional state
I'm not going to hurt myself,12,de-escalation confirmed
I talked to someone,22,de-escalation confirmed
I'm not going to hurt myself,34,stabilizing emotional state
I was just venting,17,de-escalation confirmed
I'm safe,24,de-escalation confirmed
I changed my mind,31,stabilizing emotional state
I'm okay now,6,de-escalation confirmed
things are getting better,23,reduced risk
I changed my mind,32,stabilizing emotional state
things are getting better,12,reduced risk
I'm okay now,11,de-escalation confirmed
I won't do anything,14,reduced risk
I'm safe,8,reduced risk
I changed my mind,5,de-escalation confirmed
I don't actually want to die,9,stabilizing emotional state
things are getting better,30,monitor but not urgent
I don't actually want to die,35,reduced risk
I'm okay now,18,reduced risk
I don't mean it,16,de-escalation confirmed
I won't do anything,19,stabilizing emotional state
things are getting better,29,de-escalation confirmed
I was just venting,36,monitor but not urgent
I'm okay now,10,de-escalation confirmed
I talked to someone,7,stabilizing emotional state
things are getting better,9,monitor but not urgent
I changed my mind,36,monitor but not urgent
I'm okay now,13,reduced risk
I won't do anything,11,stabilizing emotional state
I'm safe,14,monitor but not urgent
I'm safe,23,de-escalation confirmed
I'm not going to hurt myself,18,de-escalation confirmed
I won't do anything,24,stabilizing emotional state
I talked to someone,38,monitor but not urgent
I'm not going to hurt myself,23,stabilizing emotional state
I'm safe,29,monitor but not urgent
I was just venting,7,reduced risk
I don't mean it,16,monitor but not urgent
things are getting better,38,stabilizing emotional state
I don't actually want to die,25,stabilizing emotional state
things are getting better,40,reduced risk
I changed my mind,13,stabilizing emotional state
I was just venting,27,monitor but not urgent
I don't mean it,32,de-escalation confirmed
I'm not going to hurt myself,14,monitor but not urgent
I don't actually want to die,37,reduced risk
I changed my mind,28,monitor but not urgent
I changed my mind,16,reduced risk
I'm not going to hurt myself,22,stabilizing emotional state
I'm not going to hurt myself,7,monitor but not urgent
I'm okay now,36,de-escalation confirmed
I changed my mind,25,reduced risk
I'm not going to hurt myself,25,stabilizing emotional state
I don't mean it,14,de-escalation confirmed
I was just venting,7,de-escalation confirmed
I talked to someone,36,monitor but not urgent
I don't mean it,5,de-escalation confirmed
things are getting better,8,stabilizing emotional state
I was just venting,31,monitor but not urgent
I'm safe,18,reduced risk
I'm not going to hurt myself,14,monitor but not urgent
I'm safe,34,de-escalation confirmed
I don't actually want to die,30,stabilizing emotional state
I'm safe,12,stabilizing emotional state
I won't do anything,12,monitor but not urgent
I was just venting,28,monitor but not urgent
I changed my mind,8,de-escalation confirmed
I don't actually want to die,5,monitor but not urgent
I was just venting,7,reduced risk
I don't mean it,26,reduced risk
I'm okay now,7,stabilizing emotional state
I talked to someone,22,stabilizing emotional state
I was just venting,17,monitor but not urgent
I don't actually want to die,25,de-escalation confirmed
I'm not going to hurt myself,34,monitor but not urgent
I was just venting,15,monitor but not urgent
I won't do anything,28,stabilizing emotional state
I talked to someone,21,stabilizing emotional state
I'm not going to hurt myself,14,reduced risk
I'm okay now,24,stabilizing emotional state
I don't actually want to die,12,reduced risk
I won't do anything,5,stabilizing emotional state
I'm not going to hurt myself,17,reduced risk
I was just venting,38,de-escalation confirmed
I'm not going to hurt myself,29,stabilizing emotional state
I changed my mind,14,monitor but not urgent
I'm not going to hurt myself,10,reduced risk
I changed my mind,19,de-escalation confirmed
things are getting better,12,stabilizing emotional state
I'm not going to hurt myself,6,reduced risk
I was just venting,19,reduced risk
I changed my mind,37,reduced risk
I talked to someone,26,stabilizing emotional state
I don't mean it,39,de-escalation confirmed
I talked to someone,22,de-escalation confirmed
I don't actually want to die,10,de-escalation confirmed
I'm safe,26,monitor but not urgent
I'm okay now,10,de-escalation confirmed
I'm safe,39,stabilizing emotional state
I'm not going to hurt myself,21,de-escalation confirmed
I was just venting,40,de-escalation confirmed
I won't do anything,8,reduced risk
I talked to someone,27,stabilizing emotional state
I don't mean it,11,reduced risk
things are getting better,19,reduced risk
things are getting better,24,monitor but not urgent
I'm not going to hurt myself,37,de-escalation confirmed
I don't mean it,35,de-escalation confirmed
I don't mean it,16,de-escalation confirmed
I talked to someone,8,stabilizing emotional state
I'm okay now,37,de-escalation confirmed
I'm safe,33,stabilizing emotional state
I changed my mind,39,de-escalation confirmed
things are getting better,15,reduced risk
I'm okay now,34,reduced risk
I don't actually want to die,21,stabilizing emotional state
things are getting better,33,reduced risk
I won't do anything,6,de-escalation confirmed
I changed my mind,39,monitor but not urgent
I'm not going to hurt myself,8,de-escalation confirmed
I won't do anything,14,de-escalation confirmed
I don't mean it,19,de-escalation confirmed
I talked to someone,26,stabilizing emotional state
I won't do anything,18,de-escalation confirmed
I'm okay now,30,stabilizing emotional state
I'm not going to hurt myself,22,de-escalation confirmed
I'm okay now,40,monitor but not urgent
I was just venting,26,de-escalation confirmed
I don't mean it,26,stabilizing emotional state
I changed my mind,29,de-escalation confirmed
things are getting better,40,stabilizing emotional state
I'm not going to hurt myself,31,de-escalation confirmed
I'm safe,22,reduced risk
I don't actually want to die,14,reduced risk
I talked to someone,30,monitor but not urgent
I'm not going to hurt myself,10,monitor but not urgent
I'm safe,31,de-escalation confirmed
I'm safe,36,stabilizing emotional state
I don't mean it,16,monitor but not urgent
I don't actually want to die,34,stabilizing emotional state
I talked to someone,30,stabilizing emotional state
I'm not going to hurt myself,32,reduced risk
I talked to someone,11,reduced risk
things are getting better,18,stabilizing emotional state
I changed my mind,20,de-escalation confirmed
I talked to someone,16,de-escalation confirmed
I was just venting,40,reduced risk
